https://cs.usfca.edu/svn/yxu66/cs245/Project3

Result on array size: 5
Insertion Sort | Reverse = True | Duration = 0.003003003003003003
Selection Sort | Reverse = True | Duration = 0.3213213213213213
Shell Sort | Reverse = True | Duration = 0.012012012012012012
Bucket Sort | Reverse = True | Duration = 0.012012012012012012
Heap Sort | Reverse = True | Duration = 0.036036036036036036
Radix Sort | Reverse = True | Duration = 0.02702702702702703
Merge Sort | Reverse = True | Duration = 0.02702702702702703
Quick Sort | Reverse = True | Duration = 0.006006006006006006
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.009009009009009009
==================
Result on array size: 400
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.148
Shell Sort | Reverse = False | Duration = 0.016
Bucket Sort | Reverse = False | Duration = 0.012
Heap Sort | Reverse = False | Duration = 0.044
Radix Sort | Reverse = False | Duration = 0.024
Merge Sort | Reverse = False | Duration = 0.032
Quick Sort | Reverse = False | Duration = 0.012
Merge Sort LL | Reverse = False | Duration = 0.0040
Insertion Sort LL | Reverse = False | Duration = 0.08
Optimized Quick Sort | Reverse = False | Duration = 0.012

Insertion Sort | Reverse = True | Duration = 0.0040
Selection Sort | Reverse = True | Duration = 0.584
Shell Sort | Reverse = True | Duration = 0.016
Bucket Sort | Reverse = True | Duration = 0.012
Heap Sort | Reverse = True | Duration = 0.036
Radix Sort | Reverse = True | Duration = 0.024
Merge Sort | Reverse = True | Duration = 0.036
Quick Sort | Reverse = True | Duration = 0.012
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.0080
==================
Result on array size: 500
Insertion Sort | Reverse = False | Duration = 0.0
Selection Sort | Reverse = False | Duration = 0.21
Shell Sort | Reverse = False | Duration = 0.015
Bucket Sort | Reverse = False | Duration = 0.015
Heap Sort | Reverse = False | Duration = 0.04
Radix Sort | Reverse = False | Duration = 0.03
Merge Sort | Reverse = False | Duration = 0.055
Quick Sort | Reverse = False | Duration = 0.01
Merge Sort LL | Reverse = False | Duration = 0.0
Insertion Sort LL | Reverse = False | Duration = 0.0
Optimized Quick Sort | Reverse = False | Duration = 0.01

Insertion Sort | Reverse = True | Duration = 0.0050
Selection Sort | Reverse = True | Duration = 0.855
Shell Sort | Reverse = True | Duration = 0.015
Bucket Sort | Reverse = True | Duration = 0.015
Heap Sort | Reverse = True | Duration = 0.05
Radix Sort | Reverse = True | Duration = 0.025
Merge Sort | Reverse = True | Duration = 0.045
Quick Sort | Reverse = True | Duration = 0.015
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.015
==================
Result on array size: 1000
Insertion Sort | Reverse = False | Duration = 0.01
Selection Sort | Reverse = False | Duration = 0.82
Shell Sort | Reverse = False | Duration = 0.05
Bucket Sort | Reverse = False | Duration = 0.03
Heap Sort | Reverse = False | Duration = 0.12
Radix Sort | Reverse = False | Duration = 0.08
Merge Sort | Reverse = False | Duration = 0.09
Quick Sort | Reverse = False | Duration = 0.03
Merge Sort LL | Reverse = False | Duration = 0.0
Insertion Sort LL | Reverse = False | Duration = 0.01
Optimized Quick Sort | Reverse = False | Duration = 0.03

Insertion Sort | Reverse = True | Duration = 0.01
Selection Sort | Reverse = True | Duration = 3.38
Shell Sort | Reverse = True | Duration = 0.04
Bucket Sort | Reverse = True | Duration = 0.03
Heap Sort | Reverse = True | Duration = 0.12
Radix Sort | Reverse = True | Duration = 0.06
Merge Sort | Reverse = True | Duration = 0.1
Quick Sort | Reverse = True | Duration = 0.03
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.02
==================
Result on array size: 2000
Insertion Sort | Reverse = False | Duration = 0.04
Selection Sort | Reverse = False | Duration = 3.3
Shell Sort | Reverse = False | Duration = 0.1
Bucket Sort | Reverse = False | Duration = 0.08
Heap Sort | Reverse = False | Duration = 0.22
Radix Sort | Reverse = False | Duration = 0.08
Merge Sort | Reverse = False | Duration = 0.2
Quick Sort | Reverse = False | Duration = 0.06
Merge Sort LL | Reverse = False | Duration = 0.04
Insertion Sort LL | Reverse = False | Duration = 2.48
Optimized Quick Sort | Reverse = False | Duration = 0.1

Insertion Sort | Reverse = True | Duration = 0.02
Selection Sort | Reverse = True | Duration = 14.36
Shell Sort | Reverse = True | Duration = 0.08
Bucket Sort | Reverse = True | Duration = 0.08
Heap Sort | Reverse = True | Duration = 0.26
Radix Sort | Reverse = True | Duration = 0.08
Merge Sort | Reverse = True | Duration = 0.22
Quick Sort | Reverse = True | Duration = 0.06
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.08
==================
Result on array size: 3000
Insertion Sort | Reverse = False | Duration = 0.12121212121212122
Selection Sort | Reverse = False | Duration = 7.484848484848484
Shell Sort | Reverse = False | Duration = 0.15151515151515152
Bucket Sort | Reverse = False | Duration = 0.12121212121212122
Heap Sort | Reverse = False | Duration = 0.36363636363636365
Radix Sort | Reverse = False | Duration = 0.12121212121212122
Merge Sort | Reverse = False | Duration = 0.3333333333333333
Quick Sort | Reverse = False | Duration = 0.09090909090909091
Merge Sort LL | Reverse = False | Duration = 0.09090909090909091
Insertion Sort LL | Reverse = False | Duration = 8.0
Optimized Quick Sort | Reverse = False | Duration = 0.12121212121212122

Insertion Sort | Reverse = True | Duration = 0.09090909090909091
Selection Sort | Reverse = True | Duration = 31.060606060606062
Shell Sort | Reverse = True | Duration = 0.18181818181818182
Bucket Sort | Reverse = True | Duration = 0.15151515151515152
Heap Sort | Reverse = True | Duration = 0.42424242424242425
Radix Sort | Reverse = True | Duration = 0.12121212121212122
Merge Sort | Reverse = True | Duration = 0.36363636363636365
Quick Sort | Reverse = True | Duration = 0.09090909090909091
Merge Sort LL | Reverse = True | Duration = 0.0
Insertion Sort LL | Reverse = True | Duration = 0.0
Optimized Quick Sort | Reverse = True | Duration = 0.12121212121212122
==================
Result on array size: 4000
Insertion Sort | Reverse = False | Duration = 0.28
Selection Sort | Reverse = False | Duration = 13.4
Shell Sort | Reverse = False | Duration = 0.24
Bucket Sort | Reverse = False | Duration = 0.16
Heap Sort | Reverse = False | Duration = 0.48
Radix Sort | Reverse = False | Duration = 0.2
Merge Sort | Reverse = False | Duration = 0.44
Quick Sort | Reverse = False | Duration = 0.12
Merge Sort LL | Reverse = False | Duration = 0.24
Insertion Sort LL | Reverse = False | Duration = 42.32
Optimized Quick Sort | Reverse = False | Duration = 0.12

Insertion Sort | Reverse = True | Duration = 0.2
Selection Sort | Reverse = True | Duration = 54.32
Shell Sort | Reverse = True | Duration = 0.2
Bucket Sort | Reverse = True | Duration = 0.16
